Year,Mth,Month,Facility Reference Number,Licence Holder,Zone,FH_Zone,Site_Name,Latitude,Longitude,Sample Type,Date,Leps_mot,Leps_AF,Chalimus,Cali_mot,Counts_Pens,Prop_AF,Year Class
2017,2,February,1581,Marine Harvest Canada,Discovery Passage,3.2,Hardwicke,50.41339,-125.76974,Routine monitoring,14-Feb-17,0.23,0,0.05,0,2,0,2
2017,4,April,78,Marine Harvest Canada,Discovery Passage,3.2,Phillips Arm,50.48825,-125.35658,Routine monitoring,19-Apr-17,0.08,0,0.33,0.23,2,0,2
2017,5,May,1300,Marine Harvest Canada,Discovery Passage,3.2,Althorpe,50.47531,-125.80975,Routine monitoring,25-May-17,0.1,0,1.03,0.15,2,0,2
2017,5,May,78,Marine Harvest Canada,Discovery Passage,3.2,Phillips Arm,50.48825,-125.35658,Routine monitoring,05-May-17,0.03,0,0.63,0.3,2,0,2
2018,1,January,211,Marine Harvest Canada,Discovery Passage,3.2,Okisollo,50.30946,-125.31618,Routine monitoring,17-Jan-18,0.08,0,0,0.03,2,0,2
2018,5,May,380,Marine Harvest Canada,Discovery Passage,3.2,Sonora Point,50.42362,-125.30517,Post mechanical removal or bath treatment,23-May-18,0.1,0,0.28,0.15,2,0,1
2018,5,May,380,Marine Harvest Canada,Discovery Passage,3.2,Sonora Point,50.42362,-125.30517,Routine monitoring,30-May-18,0.28,0,0.7,0.25,2,0,1
2018,6,June,78,Marine Harvest Canada,Discovery Passage,3.2,Phillips Arm,50.48825,-125.35658,Routine monitoring,20-Jun-18,0.08,0,0.45,0.15,2,0,1
2018,7,July,100,Marine Harvest Canada,Discovery Passage,3.2,Lees Bay,50.41063,-125.70029,Routine monitoring,10-Jul-18,0.08,0,2.88,1.33,2,0,1
2018,7,July,100,Marine Harvest Canada,Discovery Passage,3.2,Lees Bay,50.41063,-125.70029,Routine monitoring,22-Jul-18,0.15,0,2,1.53,2,0,1
2019,5,May,380,MOWI Canada West,Discovery Passage,3.2,Sonora Point,50.42362,-125.30517,Routine monitoring,08-May-19,0.03,0,0.13,0,2,0,2
2019,7,July,1581,MOWI Canada West,Discovery Passage,3.2,Hardwicke,50.41339,-125.76974,Routine monitoring,26-Jul-19,0.03,0,0.83,0.25,2,0,2
2019,7,July,211,MOWI Canada West,Discovery Passage,3.2,Okisollo,50.30946,-125.31618,Routine monitoring,11-Jul-19,0.2,0,14.58,0.63,2,0,1
2020,11,November,1581,MOWI Canada West,Discovery Passage,3.2,Hardwicke,-125.76974,50.41339,Routine monitoring,29-Nov-20,0.03,0,0.05,0,2,0,2
2015,6,June,1079,Grieg Seafood BC,Esperanza Inlet,2.4,Steamer,49.8868,-126.7911,Routine monitoring,01-Jun-15,0.08,0,0,0,2,0,2
2011,3,March,1789,Grieg Seafood BC,Nootka Sound,2.4,Concepcion,49.65923,-126.47587,Routine monitoring,18-Mar-11,0.03,0,0,0,2,0,1
2011,4,April,1738,Grieg Seafood BC,Nootka Sound,2.4,Atrevida,49.65603,-126.45404,Routine monitoring,08-Apr-11,0.01,0,0,0,2,0,1
2011,6,June,1789,Grieg Seafood BC,Nootka Sound,2.4,Concepcion,49.65923,-126.47587,Routine monitoring,13-Jun-11,0.08,0,0,0,2,0,1
2014,7,July,1849,Grieg Seafood BC,Nootka Sound,2.4,Muchalat North,49.64394,-126.33953,Routine monitoring,14-Jul-14,0.08,0,0,0,2,0,1
2021,3,March,1789,Grieg Seafood BC,Nootka Sound,2.4,Concepcion,-126.47587,49.65923,Routine monitoring,26-Mar-21,0.13,0,0,0.48,2,0,1
2012,3,March,831,Marine Harvest Canada,Port Hardy,3.4,Shelter Pass,50.88414,-127.5004,Routine monitoring,19-Mar-12,0.08,0,0,0.1,2,0,2
2017,5,May,831,Marine Harvest Canada,Port Hardy,3.4,Shelter Pass,50.88414,-127.5004,Routine monitoring,03-May-17,0.03,0,0,0,2,0,2
2017,5,May,831,Marine Harvest Canada,Port Hardy,3.4,Shelter Pass,50.88414,-127.5004,Routine monitoring,30-May-17,0.03,0,0,0.03,2,0,2
2017,6,June,1350,Marine Harvest Canada,Port Hardy,3.4,Shelter Bay,50.96555,-127.45345,Routine monitoring,10-Jun-17,0.1,0,0.23,0.1,2,0,1
2017,7,July,1350,Marine Harvest Canada,Port Hardy,3.4,Shelter Bay,50.96555,-127.45345,Routine monitoring,25-Jul-17,0.13,0,8.55,3.28,2,0,1
2017,8,August,7053,Marine Harvest Canada,Port Hardy,3.4,Ghi ya,50.90078,-127.93638,Routine monitoring,24-Aug-17,0.6,0,20.85,0.7,2,0,1
2018,1,January,892,Marine Harvest Canada,Port Hardy,3.4,Bell Island,50.83242,-127.52057,Routine monitoring,10-Jan-18,0.05,0,0.08,0.03,2,0,1
2018,1,January,7053,Marine Harvest Canada,Port Hardy,3.4,Ghi ya,50.90078,-127.93638,Routine monitoring,24-Jan-18,0.05,0,0,0,2,0,2
2018,2,February,7053,Marine Harvest Canada,Port Hardy,3.4,Ghi ya,50.90078,-127.93638,Routine monitoring,05-Feb-18,0.1,0,0.08,0,2,0,2
2018,2,February,831,Marine Harvest Canada,Port Hardy,3.4,Shelter Pass,50.88414,-127.5004,Routine monitoring,23-Feb-18,0.03,0,0,0,2,0,1
2018,2,February,7054,Marine Harvest Canada,Port Hardy,3.4,Wanx talis,50.89322,-127.89568,Pre-treatment,27-Feb-18,0.03,0,0,0,2,0,1
2018,3,March,831,Marine Harvest Canada,Port Hardy,3.4,Shelter Pass,50.88414,-127.5004,Routine monitoring,12-Mar-18,0.1,0,0.05,0,2,0,1
2018,3,March,831,Marine Harvest Canada,Port Hardy,3.4,Shelter Pass,50.88414,-127.5004,Routine monitoring,16-Mar-18,0.08,0,0,0.03,2,0,1
2018,3,March,7054,Marine Harvest Canada,Port Hardy,3.4,Wanx talis,50.89322,-127.89568,Follow-up,11-Mar-18,0.03,0,0,0,2,0,2
2018,4,April,7054,Marine Harvest Canada,Port Hardy,3.4,Wanx talis,50.89322,-127.89568,Routine monitoring,17-Apr-18,0.03,0,0.2,0,2,0,2
2018,5,May,7054,Marine Harvest Canada,Port Hardy,3.4,Wanx talis,50.89322,-127.89568,Routine monitoring,01-May-18,0.05,0,0.08,0,2,0,2
2018,11,November,1293,Marine Harvest Canada,Port Hardy,3.4,Duncan Island,50.8195,-127.55568,Routine monitoring,21-Nov-18,0.05,0,0.93,0.03,2,0,1
2018,11,November,1350,Marine Harvest Canada,Port Hardy,3.4,Shelter Bay,50.96555,-127.45345,Routine monitoring,15-Nov-18,0.05,0,0,0,2,0,2
2019,2,February,1198,MOWI Canada West,Port Hardy,3.4,Raynor,50.89253,-127.25359,Routine monitoring,28-Feb-19,0.03,0,0.63,0.13,2,0,1
2019,3,March,7053,MOWI Canada West,Port Hardy,3.4,Ghi ya,50.90078,-127.93638,Routine monitoring,26-Mar-19,0.25,0,0.25,0.03,2,0,1
2019,3,March,1350,MOWI Canada West,Port Hardy,3.4,Shelter Bay,50.96555,-127.45345,Routine monitoring,07-Mar-19,0.03,0,0.45,0,2,0,2
2019,4,April,7053,MOWI Canada West,Port Hardy,3.4,Ghi ya,50.90078,-127.93638,Routine monitoring,01-Apr-19,0.28,0,0.25,0.05,2,0,1
2019,11,November,7053,MOWI Canada West,Port Hardy,3.4,Ghi ya,50.90078,-127.93638,Routine monitoring,18-Nov-19,0.05,0,0,0.1,2,0,1
2019,12,December,7053,MOWI Canada West,Port Hardy,3.4,Ghi ya,50.90078,-127.93638,Routine monitoring,01-Dec-19,0.08,0,0,0.08,2,0,1
2017,3,March,144,Marine Harvest Canada,Quatsino Sound,2.4,Koskimo,50.45861,-127.88988,Routine monitoring,14-Mar-17,0.1,0,6,0.83,2,0,1
2017,5,May,1237,Marine Harvest Canada,Quatsino Sound,2.4,Monday Rocks,50.48562,-127.87618,Routine monitoring,16-May-17,0.03,0,0,0.03,2,0,1
2017,6,June,144,Marine Harvest Canada,Quatsino Sound,2.4,Koskimo,50.45861,-127.88988,Routine monitoring,04-Jun-17,0.03,0,0.95,0.1,2,0,1
2017,6,June,1237,Marine Harvest Canada,Quatsino Sound,2.4,Monday Rocks,50.48562,-127.87618,Routine monitoring,02-Jun-17,0.1,0,2.4,0.33,2,0,1
2017,6,June,1237,Marine Harvest Canada,Quatsino Sound,2.4,Monday Rocks,50.48562,-127.87618,Routine monitoring,17-Jun-17,0.1,0,7.6,1.88,2,0,1
2019,1,January,144,MOWI Canada West,Quatsino Sound,2.4,Koskimo,50.45861,-127.88988,Routine monitoring,12-Jan-19,0.08,0,0.38,0.13,2,0,1
2019,1,January,1237,MOWI Canada West,Quatsino Sound,2.4,Monday Rocks,50.48562,-127.87618,Routine monitoring,17-Jan-19,0.15,0,0.1,0.03,2,0,1
2019,1,January,1237,MOWI Canada West,Quatsino Sound,2.4,Monday Rocks,50.48562,-127.87618,Routine monitoring,30-Jan-19,0.08,0,0.2,0.13,2,0,1
